StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
VIC,200,Bendigo,28903,PURCELL,Megan,5,N,N,LP,Liberal,37752,1322,101,1839,4091,45105,-2.48
VIC,201,Bruce,28996,KROGER,Helen,3,N,N,LP,Liberal,28985,1554,138,1742,5699,38118,-2.28
VIC,201,Bruce,28275,HILL,Julian,6,Y,N,ALP,Australian Labor Party,35060,2258,272,1864,5440,44894,2.28
VIC,203,Calwell,29082,HSU,John,1,N,N,LP,Liberal,22555,1597,188,1992,2538,28870,-4.01
VIC,203,Calwell,28311,VAMVAKINOU,Maria,2,Y,Y,ALP,Australian Labor Party,49683,3529,485,2966,4315,60978,4.01
VIC,204,Casey,28292,MELKONIAN,Hovig,3,N,N,ALP,Australian Labor Party,32669,2116,160,1565,4018,40528,1.11
VIC,204,Casey,28985,SMITH,Tony,5,Y,Y,LP,Liberal,40230,1910,146,1928,7489,51703,-1.11
VIC,205,Chisholm,28936,BANKS,Julia,5,Y,N,LP,Liberal,32316,2401,118,2058,7544,44437,2.84
VIC,205,Chisholm,28298,PERRI,Stefanie,6,N,N,ALP,Australian Labor Party,32153,2584,161,1916,5469,42283,-2.84
VIC,207,Corangamite,28257,COKER,Libby,5,N,N,ALP,Australian Labor Party,37094,2305,130,1898,4699,46126,0.81
VIC,207,Corangamite,28920,HENDERSON,Sarah,10,Y,Y,LP,Liberal,41250,1770,107,2263,6901,52291,-0.81
VIC,208,Corio,29003,LANGE,Richard,1,N,N,LP,Liberal,31133,1303,103,1233,4007,37779,-2.24
VIC,208,Corio,28291,MARLES,Richard,3,Y,Y,ALP,Australian Labor Party,48017,2007,195,1327,5110,56656,2.24
VIC,209,Deakin,29068,SUKKAR,Michael,1,Y,Y,LP,Liberal,37755,2234,154,2008,8113,50264,2.5
