District,Candidate,Party,Votes
Melbourne,"DI NATALE, Richard",Greens,15345
Melbourne,"PIKE, Bronwyn",ALP,16544
Melton,"HOOPER, Graham",Liberal,12345
Melton,"NARDELLA, Don",ALP,21513
Mildura,"CRISP, Peter",Nationals,17854
Mildura,"SAVAGE, Russell",,13985
Mildura,"CRISP, Peter",Nationals,17777
Mildura,"SAVAGE, Russell",,14081
Mill Park,"PAPAEVANGELOU, Adam",Liberal,10018
Mill Park,"D'AMBROSIO, Lily",ALP,24276
Mitcham,"ROBINSON, Tony",ALP,17234
Mitcham,"DAW, Philip",Liberal,15926
Mitcham,"ROBINSON, Tony",ALP,17205
Mitcham,"DAW, Philip",Liberal,15966
Monbulk,"LARKMAN, Clive",Liberal,14148
Monbulk,"MERLINO, James",ALP,18511
Monbulk,"LARKMAN, Clive",Liberal,14212
Monbulk,"MERLINO, James",ALP,18481
Mordialloc,"HARTNEY, Stephen",Liberal,16420
Mordialloc,"MUNT, Janice",ALP,18926
Mordialloc,"HARTNEY, Stephen",Liberal,16409
Mordialloc,"MUNT, Janice",ALP,18967
Mornington,"MORRIS, David",Liberal,20582
Mornington,"PULS, William",ALP,12695
Morwell,"NORTHE, Russell",Nationals,12521
Morwell,"PARKER, Stephen",Liberal,5240
Morwell,"JENKINS, Brendan",ALP,15141
Morwell,"NORTHE, Russell",Nationals,17147
Morwell,"JENKINS, Brendan",ALP,15755
Mount Waverley,"GIDLEY, Michael",Liberal,16470
Mount Waverley,"MORAND, Maxine",ALP,16675
Mount Waverley,"GIDLEY, Michael",Liberal,16487
Mount Waverley,"MORAND, Maxine",ALP,16725
Mulgrave,"ANDREWS, Daniel",ALP,18280
Mulgrave,"ASHOKKUMAR, Ashton",Liberal,9515
Murray Valley,"O'NEILL, Lauren",ALP,9302
Murray Valley,"JASPER, Ken",Nationals,23637
Narracan,"BLACKWOOD, Gary",Liberal,18440
Narracan,"MAXFIELD, Ian",ALP,16582
Narracan,"BLACKWOOD, Gary",Liberal,18525
Narracan,"MAXFIELD, Ian",ALP,16558
Narre Warren North,"MORLAND, Mick",Liberal,13569
Narre Warren North,"DONNELLAN, Luke",ALP,19716
Narre Warren South,"GRALEY, Judith",ALP,25965
Narre Warren South,"SHEPHERDSON, Michael",Liberal,16641
Nepean,"DIXON, Martin",Liberal,19203
Nepean,"MARSHALL, Anne",ALP,13138
Niddrie,"BUONOPANE, James",Liberal,12288
Niddrie,"HULLS, Rob",ALP,19396
Northcote,"BHATHAL, Alex",Greens,13813
Northcote,"RICHARDSON, Fiona",ALP,19484
Oakleigh,"BILLMAN, Matthew",Greens,4339
Oakleigh,"BARKER, Ann",ALP,15503
Oakleigh,"DIXON, Colin",Liberal,10717
Oakleigh,"BARKER, Ann",ALP,19031
Oakleigh,"DIXON, Colin",Liberal,11481
Pascoe Vale,"TOMISICH, Claude",Liberal,8912
Pascoe Vale,"CAMPBELL, Christine",ALP,23828
Polwarth,"CHEESEMAN, Darren",ALP,14394
Polwarth,"MULDER, Terry",Liberal,22220
Prahran,"LUPTON, Tony",ALP,16800
Prahran,"NEWTON-BROWN, Clem",Liberal,14571
Prahran,"LUPTON, Tony",ALP,16782
Prahran,"NEWTON-BROWN, Clem",Liberal,14566
Preston,"SCOTT, Robin",ALP,24222
Preston,"HAMMOND, Peter",Liberal,7944
Richmond,"SEKHON, Gurm",Greens,14841
Richmond,"WYNNE, Richard",ALP,17170
Richmond,"SEKHON, Gurm",Greens,14444
Richmond,"WYNNE, Richard",ALP,17571
Ripon,"SMITH, Robyn",Nationals,3629
Ripon,"DUNN, Vic",Liberal,12391
Ripon,"HELPER, Joe",ALP,17021
Ripon,"DUNN, Vic",Liberal,15090
Ripon,"HELPER, Joe",ALP,17964
Rodney,"REPACHOLI, Neil",Liberal,14534
Rodney,"WELLER, Paul",Nationals,17334
Rodney,"REPACHOLI, Neil",Liberal,14522
Rodney,"WELLER, Paul",Nationals,17182
Sandringham,"PULLEN, Noel",ALP,13615
Sandringham,"THOMPSON, Murray",Liberal,19332
Scoresby,"WELLS, Kim",Liberal,21110
Scoresby,"RALEIGH, Gerry",ALP,13400
Seymour,"DALMAU, Mike",Liberal,14926
Seymour,"HARDMAN, Ben",ALP,19517
Seymour,"DALMAU, Mike",Liberal,14862
Seymour,"HARDMAN, Ben",ALP,19555
Shepparton,"TAYLOR, James",ALP,7254
Shepparton,"MERRYLEES, Stephen",Liberal,8736
Shepparton,"POWELL, Jeanette",Nationals,16513
Shepparton,"MERRYLEES, Stephen",Liberal,10838
Shepparton,"POWELL, Jeanette",Nationals,21677
South Barwon,"KING, Michael",Liberal,18666
South Barwon,"CRUTCHFIELD, Michael",ALP,20446
South Barwon,"KING, Michael",Liberal,18613
South Barwon,"CRUTCHFIELD, Michael",ALP,20487
South-West Coast,"REEKIE, Roy",ALP,15038
South-West Coast,"NAPTHINE, Denis",Liberal,19052
South-West Coast,"ADAMS, Phoebe",Greens,2891
South-West Coast,"REEKIE, Roy",ALP,17018
South-West Coast,"NAPTHINE, Denis",Liberal,19982
Swan Hill,"TOMAMICHEL, Suellen",Liberal,8316
Swan Hill,"MORRISON, Glenn",ALP,6485
Swan Hill,"WALSH, Peter",Nationals,15351
Swan Hill,"MORRISON, Glenn",ALP,8029
Swan Hill,"WALSH, Peter",Nationals,22152
Tarneit,"ROSE, Mark",Liberal,13747
Tarneit,"PALLAS, Tim",ALP,22879
Thomastown,"BATCHELOR, Peter",ALP,25152
Thomastown,"COLES, Simon",Liberal,5872
Warrandyte,"PANTHER, Jarrod",ALP,14767
Warrandyte,"SMITH, Ryan",Liberal,21244
Williamstown,"BRACKS, Steve",ALP,24066
Williamstown,"EVERS-BUCKLAND, Alan",Liberal,8346
Yan Yean,"IVANOVSKI, Aneta",Liberal,15753
Yan Yean,"GREEN, Danielle",ALP,21675
Yan Yean,"IVANOVSKI, Aneta",Liberal,15725
Yan Yean,"GREEN, Danielle",ALP,21707
Yuroke,"FINN, Cathy",Liberal,11095
Yuroke,"BEATTIE, Liz",ALP,26126
