district_name,district_id,candidate_id,candidate_name,surname,first_name,party_code,ballot_order,votes
Bulimba,10,44,"Farmer, Di",Farmer,Di,ALP,2,16741
Bulimba,10,998,Exhausted,Exhausted,Exhausted,EXH,998,649
Bundaberg,11,48,"Dempsey, Jack",Dempsey,Jack,LNP,3,11980
Bundaberg,11,50,"Donaldson, Leanne",Donaldson,Leanne,ALP,5,12783
Bundaberg,11,998,Exhausted,Exhausted,Exhausted,EXH,998,2085
Bundamba,12,51,"Miller, Jo-Ann",Miller,Jo-Ann,ALP,1,22753
Bundamba,12,53,"Fenton, Stephen",Fenton,Stephen,LNP,3,9101
Bundamba,12,998,Exhausted,Exhausted,Exhausted,EXH,998,1502
Burdekin,13,57,"Zyla, Angela",Zyla,Angela,ALP,3,10872
Burdekin,13,59,"Last, Dale",Last,Dale,LNP,5,12201
Burdekin,13,998,Exhausted,Exhausted,Exhausted,EXH,998,5103
Burleigh,14,62,"Hart, Michael",Hart,Michael,LNP,1,14984
Burleigh,14,66,"Hislop, Gail",Hislop,Gail,ALP,5,11696
Burleigh,14,998,Exhausted,Exhausted,Exhausted,EXH,998,2853
Burnett,15,67,"Mustill, Bryan",Mustill,Bryan,ALP,1,11782
Burnett,15,69,"Bennett, Stephen",Bennett,Stephen,LNP,3,15494
Burnett,15,998,Exhausted,Exhausted,Exhausted,EXH,998,3310
Cairns,16,73,"Pyne, Rob",Pyne,Rob,ALP,2,16563
Cairns,16,76,"King, Gavin",King,Gavin,LNP,5,11774
Cairns,16,998,Exhausted,Exhausted,Exhausted,EXH,998,1858
Callide,17,78,"Bjelke-Petersen, John",Bjelke-Petersen,John,PUP,2,10280
Callide,17,81,"Seeney, Jeff",Seeney,Jeff,LNP,5,13444
Callide,17,998,Exhausted,Exhausted,Exhausted,EXH,998,3835
Caloundra,18,85,"Hunt, Jason",Hunt,Jason,ALP,2,12202
Caloundra,18,86,"McArdle, Mark",McArdle,Mark,LNP,3,14223
Caloundra,18,998,Exhausted,Exhausted,Exhausted,EXH,998,3279
Capalaba,19,90,"Davies, Steve",Davies,Steve,LNP,2,12163
Capalaba,19,91,"Brown, Don",Brown,Don,ALP,3,16160
Capalaba,19,998,Exhausted,Exhausted,Exhausted,EXH,998,974
Chatsworth,20,93,"Keene, Paul",Keene,Paul,ALP,2,14285
Chatsworth,20,95,"Minnikin, Steve",Minnikin,Steve,LNP,4,15864
Chatsworth,20,998,Exhausted,Exhausted,Exhausted,EXH,998,946
Clayfield,21,96,"Nicholls, Tim",Nicholls,Tim,LNP,1,16735
Clayfield,21,97,"Martin, John",Martin,John,ALP,2,12515
Clayfield,21,998,Exhausted,Exhausted,Exhausted,EXH,998,1213
Cleveland,22,100,"Huges, Tracey",Huges,Tracey,ALP,1,13599
Cleveland,22,102,"Robinson, Mark",Robinson,Mark,LNP,3,16929
Cleveland,22,998,Exhausted,Exhausted,Exhausted,EXH,998,989
Condamine,23,103,"Huybregts, Brendon",Huybregts,Brendon,ALP,1,9584
Condamine,23,108,"Weir, Pat",Weir,Pat,LNP,6,18837
Condamine,23,998,Exhausted,Exhausted,Exhausted,EXH,998,4848
Cook,24,110,"Kempton, David",Kempton,David,LNP,2,9540
Cook,24,114,"Gordon, Billy",Gordon,Billy,ALP,6,12527
Cook,24,998,Exhausted,Exhausted,Exhausted,EXH,998,2973
Coomera,25,115,"McCreadie, Brett",McCreadie,Brett,ALP,1,12766
Coomera,25,118,"Crandon, Michael",Crandon,Michael,LNP,4,18018
Coomera,25,998,Exhausted,Exhausted,Exhausted,EXH,998,2694
Currumbin,26,120,"Wain, Ashley",Wain,Ashley,ALP,1,11734
Currumbin,26,124,"Stuckey, Jann",Stuckey,Jann,LNP,5,14475
Currumbin,26,998,Exhausted,Exhausted,Exhausted,EXH,998,3291
Dalrymple,27,126,"Knuth, Shane",Knuth,Shane,KAP,1,15987
Dalrymple,27,127,"Schmidt, Liz",Schmidt,Liz,LNP,2,8571
Dalrymple,27,998,Exhausted,Exhausted,Exhausted,EXH,998,2193
Everton,28,131,"Frew, Jeff",Frew,Jeff,ALP,2,13944
Everton,28,132,"Mander, Tim",Mander,Tim,LNP,3,14965
Everton,28,998,Exhausted,Exhausted,Exhausted,EXH,998,686
Ferny Grove,29,135,"Shuttleworth, Dale",Shuttleworth,Dale,LNP,3,13979
Ferny Grove,29,137,"Furner, Mark",Furner,Mark,ALP,5,14445
Ferny Grove,29,998,Exhausted,Exhausted,Exhausted,EXH,998,1213
Gaven,30,138,"Cramp, Sid",Cramp,Sid,LNP,1,13362
Gaven,30,141,"Riordan, Michael",Riordan,Michael,ALP,4,12214
Gaven,30,998,Exhausted,Exhausted,Exhausted,EXH,998,4685
Gladstone,31,146,"Butler, Craig",Butler,Craig,IND,2,10561
Gladstone,31,148,"Butcher, Glenn",Butcher,Glenn,ALP,4,17152
Gladstone,31,998,Exhausted,Exhausted,Exhausted,EXH,998,3785
Glass House,32,149,"Hampstead, Brent",Hampstead,Brent,ALP,1,14074
Glass House,32,152,"Powell, Andrew",Powell,Andrew,LNP,4,14890
Glass House,32,998,Exhausted,Exhausted,Exhausted,EXH,998,2431
